Start,End,Distance
75009,76059,0.6
76059,76069,1.1
76069,96289,2.3
96289,96109,2.7
96109,85079,3.3
85079,85089,3.5
85089,85069,3.8
85069,85059,4.1
85059,85049,4.5
85049,85039,4.8
85039,85029,5.0
85029,85019,5.2
85019,94079,5.5
94079,94069,6.1
94069,94059,6.4
94059,94049,6.8
94049,94089,7.0
94089,94039,7.3
94039,94029,7.7
94029,94019,7.9
94019,93099,8.3
93099,93089,8.8
93089,93079,9.1
93079,93069,9.4
93069,93059,9.8
93059,92159,10.1
92159,92149,10.4
92149,92139,10.7
92139,92129,11.2
92129,92119,11.7
92119,92109,11.9
92109,92099,12.2
92099,92161,12.7
92161,82071,13.1
82071,81199,13.9
81199,81189,14.2
81189,81179,14.7
81179,80141,15.3
80141,80219,16.0
80219,80169,17.4
80169,80159,18.1
80159,02119,18.6
02119,03019,19.6
03019,03059,19.9
03059,03129,20.3
03129,03217,20.7
03217,05649,21.6
05649,14061,21.9
14061,14071,22.4
14071,14081,22.8
14081,14101,23.2
14101,14141,24.0
14141,14121,24.3
14121,14131,24.7
14131,14151,25.2
14151,14161,25.6
14161,14171,26.0
14171,15141,26.7
15141,15151,27.0
15151,15161,27.2
15161,15191,27.7
15191,15201,28.0
15201,15221,28.6
15221,16201,28.9
16201,16011,29.2
16011,16021,29.7
16021,16031,30.0
16031,16041,30.2
16041,16051,30.5
16051,16061,30.7
16061,16071,30.9
16071,16081,31.2
16081,16009,31.7
16009,16009,0.0
16009,16089,0.4
16089,16079,0.7
16079,16069,1.0
16069,16059,1.3
16059,16049,1.5
16049,16039,1.7
16039,16029,2.0
16029,16019,2.5
16019,16209,2.7
16209,15229,3.0
15229,15219,3.2
15219,15209,3.6
15209,15199,3.9
15199,15169,4.4
15169,15159,4.6
15159,15149,4.9
15149,14189,5.3
14189,14179,5.6
14179,14169,6.0
14169,14159,6.5
14159,14139,6.9
14139,14129,7.4
14129,14119,7.7
14119,14109,8.4
14109,14089,8.8
14089,14069,9.7
14069,05641,10.2
05641,03222,10.6
03222,03111,11.3
03111,03071,11.6
03071,03031,11.9
03031,03011,12.5
03011,02111,13.1
02111,80151,13.8
80151,80161,14.5
80161,80211,16.1
80211,80149,16.7
80149,81171,17.3
81171,81181,17.8
81181,81191,18.2
81191,82079,18.7
82079,92169,19.1
92169,92091,19.7
92091,92101,20.0
92101,92111,20.2
92111,92121,20.7
92121,92131,21.2
92131,92141,21.6
92141,92151,21.8
92151,93051,22.1
93051,93061,22.5
93061,93071,22.9
93071,93081,23.3
93081,93091,23.6
93091,94011,24.0
94011,94021,24.4
94021,94031,24.7
94031,94041,25.1
94041,94051,25.5
94051,94061,26.0
94061,94071,26.5
94071,85021,26.9
85021,85031,27.3
85031,85041,27.5
85041,85051,27.9
85051,85061,28.2
85061,85081,28.4
85081,85071,28.7
85071,96101,29.1
96101,96281,29.5
96281,76061,30.8
76061,76051,31.3
76051,75009,31.9
66009,62129,0.6
62129,62119,0.9
62119,61049,1.2
61049,61039,1.6
61039,70069,2.0
70069,70059,2.7
70059,70049,2.9
70049,70039,3.3
70039,70029,3.6
70029,70019,4.0
70019,81099,4.4
81099,81089,4.7
81089,80089,5.2
80089,80069,5.6
80069,80049,6.1
80049,80039,6.3
80039,80029,6.8
80029,01339,7.3
01339,01349,7.6
01349,01429,8.0
01429,01419,8.2
01419,01529,8.6
01529,01519,8.8
01519,01629,9.2
01629,01619,9.6
01619,02029,10.4
02029,03019,11.0
03019,03059,11.3
03059,03129,11.7
03129,03217,12.1
03217,05649,13.0
05649,14061,13.3
14061,14071,13.8
14071,14081,14.2
14081,14101,14.6
14101,14141,15.4
14141,14121,15.7
14121,14131,16.1
14131,14151,16.6
14151,14161,17.0
14161,14171,17.4
14171,15041,18.1
15041,15051,18.4
15051,18011,18.9
18011,11511,19.5
11511,11021,20.0
11021,11031,20.3
11031,11041,21.0
11041,11051,21.4
11051,11161,21.9
11161,11171,22.4
11171,11181,22.8
11181,11351,23.3
11351,11009,23.6
11009,11009,0.0
11009,11359,0.2
11359,11189,0.6
11189,11179,0.8
11179,11169,1.4
11169,11059,2.0
11059,11049,2.4
11049,11039,2.8
11039,11029,3.2
11029,11519,3.8
11519,18019,4.5
18019,15059,5.0
15059,15049,5.3
15049,14189,5.7
14189,14179,6.0
14179,14169,6.4
14169,14159,6.9
14159,14139,7.3
14139,14129,7.8
14129,14119,8.1
14119,14109,8.8
14109,14089,9.2
14089,14069,10.1
14069,05641,10.6
05641,03222,11.0
03222,03111,11.7
03111,03031,12.3
03031,03011,12.9
03011,02111,13.5
02111,01611,14.1
01611,01621,14.3
01621,01511,14.6
01511,01521,14.9
01521,01411,15.2
01411,01421,15.5
01421,01341,16.0
01341,80011,16.7
80011,80031,17.2
80031,80051,17.5
80051,80071,17.9
80071,80091,18.4
80091,81081,18.6
81081,81091,19.0
81091,70011,19.4
70011,70021,19.8
70021,70031,20.1
70031,70041,20.6
70041,70051,20.9
70051,70061,21.4
70061,61031,21.9
61031,61041,22.2
61041,62111,22.6
62111,62121,22.8
62121,66009,23.3
66009,62129,0.6
62129,62119,0.9
62119,61049,1.2
61049,61039,1.6
61039,70069,2.0
70069,70059,2.7
70059,70049,2.9
70049,70039,3.3
70039,70029,3.6
70029,70019,4.0
70019,81099,4.4
81099,81089,4.7
66009,62131,0.5
62131,62141,0.9
62141,63011,1.4
63011,63021,1.9
63021,63031,2.5
63031,63041,2.8
63041,63051,3.0
63051,63061,3.3
63061,64011,3.5
64011,64541,4.1
64541,64551,4.4
64551,64529,4.6
64529,64339,4.9
64339,64341,5.1
64341,64351,5.4
64351,64431,5.9
64431,64441,6.2
64441,64461,6.5
64461,66499,6.8
66499,66541,7.1
66541,66551,7.3
66551,66561,7.5
66561,66569,8.0
66569,66559,8.2
66559,66549,8.4
66549,66491,8.6
66491,64619,8.9
64619,64561,9.2
64561,64359,9.7
64359,64349,10.1
64349,64331,10.5
64331,64521,10.8
64521,64559,11.0
64559,64549,11.2
64549,64019,11.8
64019,63069,12.1
63069,63059,12.4
63059,63049,12.8
63049,63039,13.2
63039,63029,13.7
63029,63019,14.3
63019,62149,14.6
62149,62189,14.8
62189,66009,15.5
64009,64041,0.7
64041,64051,1.1
64051,64061,1.6
64061,64401,2.1
64401,67739,2.4
67739,67729,2.8
67729,67719,3.2
67719,67609,3.9
67609,67619,4.3
67619,67341,4.5
67341,67199,4.8
67199,67189,5.0
67189,67409,5.3
67409,67399,5.8
67399,67389,6.1
67389,67549,6.4
67549,67559,7.0
67559,67569,7.5
67569,67579,7.7
67579,68031,8.1
68031,68051,8.4
68051,68111,8.8
68111,68099,10.4
68099,68239,11.4
68239,68091,13.3
68091,68119,14.7
68119,68059,15.0
68059,68049,15.2
68049,68039,15.4
68039,67571,15.7
67571,67561,16.0
67561,67551,16.4
67551,67541,17.1
67541,67381,17.3
67381,67391,17.6
67391,67401,18.1
67401,67181,18.5
67181,67191,18.7
67191,67349,19.0
67349,67611,19.2
67611,67601,19.7
67601,67711,20.2
67711,67721,20.6
67721,67731,21.0
67731,64409,21.5
64409,64069,21.9
64069,64059,22.3
64059,64049,22.6
64049,64009,23.3
66009,62131,0.5
62131,62141,0.9
62141,63141,1.3
63141,63361,1.8
63361,63181,2.2
63181,63191,2.6
63191,63201,2.8
63201,63211,3.1
63211,64101,3.6
64101,64111,4.0
64111,64121,4.4
64121,67079,4.7
67079,67069,5.1
67069,67059,5.4
67059,67049,5.8
67049,67081,6.1
67081,68011,6.4
68011,68021,6.8
68021,68031,7.2
68031,68051,7.5
68051,68111,7.9
68111,68061,8.5
68061,68091,9.1
68091,68081,9.4
68081,68101,9.9
68101,68121,10.3
68121,68161,10.8
68161,68131,11.4
68131,68141,11.9
68141,68151,12.3
68151,68171,14.1
68171,59779,14.6
59779,59789,14.8
59789,59461,15.4
59461,59459,16.0
59459,59709,16.3
59709,59349,16.6
59349,59061,17.3
59061,59671,17.5
59671,59009,17.7
59009,59009,0.0
59009,59073,0.4
59073,59069,0.6
59069,59341,1.4
59341,59701,1.7
59701,59651,2.0
59651,59451,2.3
59451,59469,2.8
59469,59781,3.4
59781,68179,4.1
68179,68159,5.8
68159,68149,6.4
68149,68139,6.7
68139,68169,7.4
68169,68129,7.9
68129,68109,8.3
68109,68089,8.7
68089,68099,9.0
68099,68069,9.6
68069,68119,10.2
68119,68059,10.5
68059,68049,10.7
68049,68039,10.9
68039,68029,11.3
68029,68019,11.6
68019,67089,11.8
67089,67041,12.2
67041,67051,12.5
67051,67061,12.8
67061,67071,13.3
67071,64129,13.6
64129,64119,14.0
64119,64109,14.5
64109,63219,14.9
63219,63209,15.2
63209,63199,15.6
63199,63189,15.9
63189,63179,16.1
63179,63369,16.5
63369,63149,16.7
63149,62149,17.2
62149,62189,17.4
62189,66009,18.1
66009,66419,0.5
